player_id,competition,season,matches_played,name,name_clean,age,position,position_full,grouped_position,position_list,position_full_list,grouped_position_list,primary_position,primary_position_full,primary_grouped_position,team_name,pass_xt_total,pass_xt_count,dribble_xt_total,dribble_xt_count,pass_xt_per90,dribble_xt_per90,total_xt,total_xt_per90,market_value_eur_m
137015,Premier League,2024/2025,31,James Maddison,James Maddison,28,Sub,Substitute,Substitute,AMC|AMR|FWR|MC|MR,Attacking Midfielder|Right Attacking Midfielder|Right Winger|Central Midfielder|Right Midfielder,Attacking Midfielder|Right Winger|Central Midfielder,AMC,Attacking Midfielder,Attacking Midfielder,Tottenham,3.3058346852828637,1004.0,0.04209415665098712,33.0,0.10663982855751174,0.0013578760209995845,3.3479288419338507,0.10799770457851131,42.0
137021,Europa League,2024/2025,7,Saïd Benrahma,Saïd Benrahma,29,Sub,Substitute,Substitute,AMC|AML|FWL,Attacking Midfielder|Left Attacking Midfielder|Left Winger,Attacking Midfielder|Left Winger,AML,Left Attacking Midfielder,Left Winger,Lyon,0.6544383223445852,91.0,-0.003350178327932829,5.0,0.09349118890636932,-0.00047859690399040415,0.6510881440166524,0.09301259200237891,
137021,Ligue 1,2024/2025,13,Saïd Benrahma,Saïd Benrahma,29,Sub,Substitute,Substitute,AMC|AML|FWL,Attacking Midfielder|Left Attacking Midfielder|Left Winger,Attacking Midfielder|Left Winger,AML,Left Attacking Midfielder,Left Winger,Lyon,1.1900044596535415,253.0,-0.03226860028884041,8.0,0.09153880458873397,-0.002482200022218493,1.1577358593647011,0.08905660456651547,10.0
137227,Europa League,2024/2025,10,Sheraldo Becker,Sheraldo Becker,30,Sub,Substitute,Substitute,AMR|FW|FWL|FWR|MC|ML|MR,Right Attacking Midfielder|Striker|Left Winger|Right Winger|Central Midfielder|Left Midfielder|Right Midfielder,Right Winger|Striker|Left Winger|Central Midfielder,FW,Striker,Striker,Real Sociedad,1.1707928571760813,132.0,0.025517640985290354,3.0,0.11707928571760813,0.0025517640985290354,1.1963104981613717,0.11963104981613717,
137227,LaLiga,2024/2025,22,Sheraldo Becker,Sheraldo Becker,30,Sub,Substitute,Substitute,AMR|FW|FWL|FWR|MC|ML|MR,Right Attacking Midfielder|Striker|Left Winger|Right Winger|Central Midfielder|Left Midfielder|Right Midfielder,Right Winger|Striker|Left Winger|Central Midfielder,FW,Striker,Striker,Real Sociedad,1.1476134373494356,199.0,-0.07140050736871352,4.0,0.05216424715224707,-0.0032454776076687964,1.076212929980722,0.04891876954457827,2.5
137250,Europa League,2024/2025,7,Andrija Zivkovic,Andrija Zivkovic,29,AMR,Right Attacking Midfielder,Right Winger,AMR,Right Attacking Midfielder,Right Winger,AMR,Right Attacking Midfielder,Right Winger,PAOK Thessaloniki FC,1.1804667721641207,236.0,-0.030897404651173768,6.0,0.1686381103091601,-0.004413914950167681,1.1495693675129468,0.1642241953589924,
137467,Champions League,2024/2025,8,Marco Asensio,Marco Asensio,29,AMC,Attacking Midfielder,Attacking Midfielder,AMC|FW|FWL|FWR|MC,Attacking Midfielder|Striker|Left Winger|Right Winger|Central Midfielder,Attacking Midfielder|Striker|Left Winger|Right Winger|Central Midfielder,FWR,Right Winger,Right Winger,Aston Villa,0.12390174210799768,67.0,0.0,1.0,0.01548771776349971,0.0,0.12390174210799768,0.01548771776349971,
137467,Ligue 1,2024/2025,12,Marco Asensio,Marco Asensio,29,AMC,Attacking Midfielder,Attacking Midfielder,AMC|FW|FWL|FWR|MC,Attacking Midfielder|Striker|Left Winger|Right Winger|Central Midfielder,Attacking Midfielder|Striker|Left Winger|Right Winger|Central Midfielder,FWR,Right Winger,Right Winger,Paris Saint-Germain,0.7999264472619658,288.0,-0.030114643526719446,4.0,0.06666053727183048,-0.0025095536272266203,0.7698118037352464,0.06415098364460387,20.0
137467,Premier League,2024/2025,13,Marco Asensio,Marco Asensio,29,AMC,Attacking Midfielder,Attacking Midfielder,AMC|FW|FWL|FWR|MC,Attacking Midfielder|Striker|Left Winger|Right Winger|Central Midfielder,Attacking Midfielder|Striker|Left Winger|Right Winger|Central Midfielder,FWR,Right Winger,Right Winger,Aston Villa,1.1766337394093873,232.0,-0.0073273823602799356,12.0,0.09051028764687595,-0.0005636447969446104,1.1693063570491073,0.08994664284993134,20.0
137512,Serie A,2024/2025,28,Adam Masina,Adam Masina,31,DC,Centre-Back,Centre-Back,DC|DL,Centre-Back|Left Back,Centre-Back|Left Defender,DC,Centre-Back,Centre-Back,Torino,1.3097910237845283,1055.0,0.009377439051480302,6.0,0.046778250849447436,0.0003349085375528679,1.3191684628360085,0.0471131593870003,1.5
